State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Households_with_Electric_Lighting,sex_ratio,litercy_rate
Andhra Pradesh,Adilabad,19.28451395,78.81321233,532,2741239,5512,566108,1001,54
Andhra Pradesh,Anantapur,14.31206556,77.46015845,553,4081148,8606,897970,977,57
Andhra Pradesh,Chittoor,13.33109263,78.92763899,554,4174064,13763,944555,997,64
Andhra Pradesh,East Godavari,16.78271832,82.24320747,545,5154296,22411,1297273,1006,64
Andhra Pradesh,Guntur,15.88492577,80.58657614,548,4887813,19383,1186028,1003,61
Andhra Pradesh,Hyderabad,17.38971556,78.46668889,536,3943323,149034,869721,954,73
Andhra Pradesh,Karimnagar,18.51548319,79.43765429,534,3776269,8831,926768,1008,58
Andhra Pradesh,Khammam,17.68392133,80.67008644,541,2797370,8628,668519,1011,58
Andhra Pradesh,Krishna,16.14387275,81.14805061,547,4517398,30438,1163932,992,67
Andhra Pradesh,Kurnool,15.43759715,77.90086837,552,4053463,10081,816721,988,52
Andhra Pradesh,Mahbubnagar,16.63954622,77.98933089,538,4053028,6153,757821,977,48
Andhra Pradesh,Medak,17.88930498,78.13778902,535,3033288,8635,604719,992,54
Andhra Pradesh,Nalgonda,17.11325052,79.16984454,539,3488809,7715,789225,983,57
Andhra Pradesh,Nizamabad,18.42948585,78.07523491,533,2551335,5261,545913,1040,54
Andhra Pradesh,Prakasam,15.489039,80.1166579,549,3397448,6151,763746,981,56
Andhra Pradesh,Srikakulam,18.570901,84.25874814,542,2703114,3988,615432,1015,55
Andhra Pradesh,Vizianagaram,18.28329696,83.45982854,543,2344474,4453,527736,1019,53
Andhra Pradesh,Warangal,18.01752609,79.87422029,540,3512576,12952,828077,997,59
Andhra Pradesh,West Godavari,16.63297944,81.45912991,546,3936966,12050,1017568,1004,67
Arunachal Pradesh,Changlang,27.36048479,96.37552645,253,148226,170,14593,926,49
Arunachal Pradesh,East Kameng,27.37119406,93.04741486,247,78690,57,5318,1029,49
Arunachal Pradesh,East Siang,28.15382353,95.06499226,251,99214,450,14231,980,63
Arunachal Pradesh,Kurung Kumey,28.04853352,93.24531994,256,92076,95,3911,1032,40
Arunachal Pradesh,Lohit,27.94678527,96.59670771,259,145726,312,17157,912,57
Arunachal Pradesh,Lower Dibang Valley,28.3265173,95.76567336,258,54080,207,5932,928,59
Arunachal Pradesh,Lower Subansiri,27.70849297,93.96226108,255,83030,381,12493,984,65
Arunachal Pradesh,Papum Pare,27.27352972,93.54468184,248,176573,2477,30539,980,69
Arunachal Pradesh,Tawang,27.68068396,91.82504245,245,49977,96,8635,714,52
Arunachal Pradesh,Tirap,26.9440623,95.41470328,254,111975,98,16026,944,43
Arunachal Pradesh,Upper Siang,28.83092449,95.00155765,252,35320,97,6198,889,52
Arunachal Pradesh,Upper Subansiri,28.27719657,93.89914356,249,83448,139,5373,998,54
Arunachal Pradesh,West Kameng,27.46486582,92.6501575,246,83947,202,14188,819,58
Arunachal Pradesh,West Siang,28.10629692,94.53510344,250,112274,303,14204,930,58
Assam,Barpeta,26.42787226,90.9791201,303,1693622,2078,84804,953,53
Assam,Bongaigaon,26.45012522,90.67342962,319,738804,2523,49866,966,59
Assam,Cachar,24.81557067,92.8684965,316,1736617,5316,140205,959,68
Assam,Darrang,26.58463216,92.04141338,325,928500,1166,45444,954,52
Assam,Dhemaji,27.58653344,94.71336909,308,686133,1192,28195,953,62
Assam,Dibrugarh,27.30612284,95.09982823,310,1326335,8817,136685,961,67
Assam,Goalpara,26.01727778,90.59869892,302,1008183,1364,78641,964,56
Assam,Golaghat,26.37721971,93.82583398,313,1066888,3073,82345,964,68
Assam,Hailakandi,24.45749609,92.59154665,318,659296,1211,44143,951,62
Assam,Jorhat,26.76244824,94.30197723,312,1092256,5651,122063,962,73
Assam,Kamrup,26.17093945,91.58863274,321,1517542,3109,122191,949,66
Assam,Karbi Anglong,26.08966455,93.1153657,314,956313,1923,53918,951,58
Assam,Karimganj,24.69660712,92.36794986,317,1228686,1933,70951,963,65
Assam,Kokrajhar,26.49724664,90.13997471,300,887142,1218,41373,959,55
Assam,Lakhimpur,27.14128806,94.07759493,307,1042137,1948,60296,968,66
Assam,Nagaon,26.26462171,92.93061911,305,2823768,5121,195631,962,61
Assam,Nalbari,26.46323768,91.40598521,323,771639,1631,68313,949,69
Assam,Sonitpur,26.73514927,92.85197805,306,1924110,4358,133368,956,58
Assam,Tinsukia,27.53549291,95.69055949,309,1327929,5135,161718,952,60
Bihar,Araria,26.21152812,87.30766555,209,2811569,2561,43290,921,43
Bihar,Aurangabad,24.77429187,84.45986024,235,2540073,2362,44456,926,58
Bihar,Aurangabad,24.77429187,84.45986024,515,3701282,23258,589477,923,68
Maharashtra,Aurangabad,20.09792288,75.32072197,235,2540073,2362,44456,926,58
Maharashtra,Aurangabad,20.09792288,75.32072197,515,3701282,23258,589477,923,68
Bihar,Banka,24.83235564,86.86649163,225,2034763,1704,62359,907,47
Bihar,Begusarai,25.54302613,86.12560144,222,2970541,4644,120373,895,52
Bihar,Bhagalpur,25.27719289,87.04213814,224,3037766,6764,174534,880,52
Bihar,Bhojpur,25.50666439,84.49407803,231,2728407,3661,62153,907,59
Bihar,Buxar,25.48593019,84.08808082,232,1706352,1784,46760,922,58
Bihar,Darbhanga,26.14618772,85.97387352,215,3937385,6280,127442,911,46
Bihar,Gaya,24.72665415,84.94291218,236,4391418,6856,112617,937,52
Bihar,Gopalganj,26.44874364,84.34636127,217,2562012,3707,69375,1021,54
Bihar,Jamui,24.7841838,86.26316298,238,1760405,1839,32633,922,49
Bihar,Jehanabad,25.15567905,84.92081245,239,1125313,1106,27641,922,55
Bihar,Katihar,25.56565356,87.70466084,212,3071029,2941,60900,919,42
Bihar,Khagaria,25.53558891,86.56593256,223,1666886,1580,40641,886,46
Bihar,Kishanganj,26.32433676,87.95045007,210,1690400,1093,58718,950,44
Bihar,Lakhisarai,25.18344932,86.12825701,227,1000912,1186,44491,902,51
Bihar,Madhepura,25.77341929,86.8978444,213,2001762,1397,23236,911,42
Bihar,Madhubani,26.41380538,86.1632836,207,4487379,5319,113281,926,48
Bihar,Munger,25.19853796,86.54173673,226,1367765,2653,90461,876,59
Bihar,Muzaffarpur,26.18664417,85.32745092,216,4801062,10290,180651,900,52
Bihar,Nalanda,25.22934551,85.48053114,229,2877653,4156,101378,922,53
Bihar,Nawada,24.82570884,85.61594569,237,2219146,1841,31162,939,49
Bihar,Pashchim Champaran,27.16064352,84.30265912,203,3935042,3495,57546,909,45
Bihar,Patna,25.40297115,85.31984336,230,5838465,40692,546859,897,59
Bihar,Purba Champaran,26.68129337,85.00382156,204,5099371,7719,74979,902,45
Bihar,Purnia,25.81714802,87.40447607,211,3264619,4170,86058,921,41
Bihar,Rohtas,24.99170461,83.93507627,234,2959918,4594,114893,918,61
Bihar,Saharsa,25.8212707,86.5467082,214,1900661,1668,41342,906,42
Bihar,Samastipur,25.79320556,85.94833323,221,4261566,5379,88021,911,50
Bihar,Saran,25.89656078,84.82266287,219,3951862,4509,94787,954,55
